tiempo (s),t corr (s),tension CH1 (mv),tension CH2 (V)
0.2668,2.6701E-02,-7.2,-3.6
0.267,2.6721E-02,-7.2,-3.6
0.2672,2.6741E-02,5.6,-3.6
0.2674,2.6761E-02,-4,-3.8
0.2676,2.6781E-02,-1.6,-3.6
0.2678,2.6801E-02,1.6,-3.6
0.268,2.6821E-02,5.6,-3.8
0.2682,2.6841E-02,8.8,-3.6
0.2684,2.6861E-02,8.8,-3.6
0.2686,2.6882E-02,8.8,-3.8
0.2688,2.6902E-02,8.8,-3.6
0.269,2.6922E-02,10.4,-3.6
0.2692,2.6942E-02,14.4,-3.6
0.2694,2.6962E-02,20.8,-3.6
0.2696,2.6982E-02,29.6,-3.6
0.2698,2.7002E-02,40,-3.6
0.27,2.7022E-02,51.2,-3.6
0.2702,2.7042E-02,59.2,-3.6
0.2704,2.7062E-02,67.2,-3.8
0.2706,2.7082E-02,75.2,-3.6
0.2708,2.7102E-02,79.2,-3.6
0.271,2.7122E-02,76,-3.8
0.2712,2.7142E-02,72,-3.8
0.2714,2.7162E-02,65.6,-3.6
0.2716,2.7182E-02,57.6,-3.8
0.2718,2.7202E-02,49.6,-3.8
0.272,2.7222E-02,43.2,-3.6
0.2722,2.7242E-02,39.2,-3.6
0.2724,2.7262E-02,33.6,-3.6
0.2726,2.7282E-02,28.8,-3.6
0.2728,2.7302E-02,25.6,-3.6
0.273,2.7322E-02,22.4,-3.8
0.2732,2.7342E-02,20,-3.8
0.2734,2.7362E-02,17.6,-3.6
0.2736,2.7382E-02,13.6,-3.8
0.2738,2.7402E-02,8,-3.6
0.274,2.7422E-02,4,-3.6
0.2742,2.7442E-02,-14.4,-3.6
0.2744,2.7462E-02,-8.8,-3.6
0.2746,2.7482E-02,-14.4,-3.6
0.2748,2.7502E-02,-20,-3.8
0.275,2.7522E-02,-20,-3.8
0.2752,2.7542E-02,-28,-3.6
0.2754,2.7562E-02,-24,-3.6
0.2756,2.7582E-02,-22.4,-3.6
0.2758,2.7602E-02,-20,-3.8
0.276,2.7622E-02,-18.4,-3.6
0.2762,2.7642E-02,-17.6,-3.6
0.2764,2.7662E-02,-17.6,-3.6
0.2766,2.7682E-02,-18.4,-3.6
0.2768,2.7702E-02,-17.6,-3.8
0.277,2.7722E-02,-17.6,-3.6
0.2772,2.7742E-02,-17.6,-3.8
0.2774,2.7762E-02,-18.4,-3.6
0.2776,2.7782E-02,-16.8,-3.6
0.2778,2.7802E-02,-14.4,-3.6
0.278,2.7822E-02,-10.4,-3.6
0.2782,2.7842E-02,-8.8,-3.4
0.2784,2.7862E-02,-4.8,-3.6
0.2786,2.7882E-02,-2.4,-3.8
0.2788,2.7902E-02,0.8,-3.6
0.279,2.7922E-02,3.2,-3.6
0.2792,2.7942E-02,4,-3.6
0.2794,2.7962E-02,4.8,-3.6
0.2796,2.7982E-02,6.4,-3.8
0.2798,2.8002E-02,7.2,-3.8
0.28,2.8022E-02,5.6,-3.6
0.2802,2.8042E-02,4.8,-3.6
0.2804,2.8062E-02,-0.8,-3.6
0.2806,2.8082E-02,8,-3.6
0.2808,2.8102E-02,12,-3.8
0.281,2.8122E-02,22.4,-3.6
0.2812,2.8143E-02,32.8,-3.6
0.2814,2.8163E-02,42.4,-3.6
0.2816,2.8183E-02,50.4,-3.6
0.2818,2.8203E-02,54.4,-3.6
0.282,2.8223E-02,60.8,-3.6
0.2822,2.8243E-02,62.4,-3.6
0.2824,2.8263E-02,60.8,-3.6
0.2826,2.8283E-02,55.2,-3.6
0.2828,2.8303E-02,48,-3.6
0.283,2.8323E-02,39.2,-3.6
0.2832,2.8343E-02,30.4,-3.6
0.2834,2.8363E-02,24.8,-3.6
0.2836,2.8383E-02,18.4,-3.6
0.2838,2.8403E-02,15.2,-3.6
0.284,2.8423E-02,11.2,-3.6
0.2842,2.8443E-02,10.4,-3.6
0.2844,2.8463E-02,9.6,-3.8
0.2846,2.8483E-02,6.4,-3.6
0.2848,2.8503E-02,4.8,-3.4
0.285,2.8523E-02,0.8,-3.6
0.2852,2.8543E-02,-4.8,-3.8
0.2854,2.8563E-02,-8,-3.6
0.2856,2.8583E-02,-13.6,-3.6
0.2858,2.8603E-02,-16,-3.8
0.286,2.8623E-02,-20,-3.6
0.2862,2.8643E-02,-23.2,-3.6
0.2864,2.8663E-02,-23.2,-3.8
0.2866,2.8683E-02,-23.2,-3.6
0.2868,2.8703E-02,-22.4,-3.8
0.287,2.8723E-02,-20,-3.8
0.2872,2.8743E-02,-17.6,-3.6
0.2874,2.8763E-02,-14.4,-3.6
0.2876,2.8783E-02,-12.8,-3.6
0.2878,2.8803E-02,-12.8,-3.8
0.288,2.8823E-02,-13.6,-3.6
0.2882,2.8843E-02,-11.2,-3.6
0.2884,2.8863E-02,-12,-3.6
0.2886,2.8883E-02,-10.4,-3.8
0.2888,2.8903E-02,-9.6,-3.8
0.289,2.8923E-02,-8,-3.8
0.2892,2.8943E-02,-5.6,-3.6
0.2894,2.8963E-02,-2.4,-3.6
0.2896,2.8983E-02,0,-3.8
0.2898,2.9003E-02,4,-3.6
0.29,2.9023E-02,6.4,-3.8
0.2902,2.9043E-02,8.8,-3.6
0.2904,2.9063E-02,12,-3.6
0.2906,2.9083E-02,14.4,-3.6
0.2908,2.9103E-02,15.2,-3.8
0.291,2.9123E-02,16.8,-3.6
0.2912,2.9143E-02,17.6,-3.4
0.2914,2.9163E-02,19.2,-3.6
0.2916,2.9183E-02,22.4,-3.6
0.2918,2.9203E-02,23.2,-3.6
0.292,2.9223E-02,26.4,-3.8
0.2922,2.9243E-02,27.2,-3.6
0.2924,2.9263E-02,29.6,-3.8
0.2926,2.9283E-02,32,-3.6
0.2928,2.9303E-02,36.8,-3.8
0.293,2.9323E-02,38.4,-3.6
0.2932,2.9343E-02,40,-3.4
0.2934,2.9363E-02,41.6,-3.8
0.2936,2.9384E-02,40,-3.8
0.2938,2.9404E-02,40,-3.6
0.294,2.9424E-02,38.4,-3.6
0.2942,2.9444E-02,37.6,-3.6
0.2944,2.9464E-02,36.8,-3.8
0.2946,2.9484E-02,35.2,-3.6
0.2948,2.9504E-02,32,-3.6
0.295,2.9524E-02,32,-3.6
0.2952,2.9544E-02,31.2,-3.6
0.2954,2.9564E-02,29.6,-3.6
0.2956,2.9584E-02,29.6,-3.6
0.2958,2.9604E-02,28,-3.6
0.296,2.9624E-02,27.2,-3.6
0.2962,2.9644E-02,26.4,-3.6
0.2964,2.9664E-02,24.8,-3.6
0.2966,2.9684E-02,22.4,-3.8
0.2968,2.9704E-02,18.4,-3.6
0.297,2.9724E-02,18.4,-3.8
0.2972,2.9744E-02,14.4,-3.8
0.2974,2.9764E-02,15.2,-3.6
0.2976,2.9784E-02,15.2,-3.6
0.2978,2.9804E-02,14.4,-3.8
0.298,2.9824E-02,12,-3.8
0.2982,2.9844E-02,11.2,-3.8
0.2984,2.9864E-02,9.6,-3.6
0.2986,2.9884E-02,8.8,-3.6
0.2988,2.9904E-02,8,-3.8
0.299,2.9924E-02,7.2,-3.6
0.2992,2.9944E-02,5.6,-3.6
0.2994,2.9964E-02,4,-3.6
0.2996,2.9984E-02,3.2,-3.6
0.2998,3.0004E-02,3.2,-3.6
0.3,3.0024E-02,3.2,-3.6
0.3002,3.0044E-02,3.2,-3.6
0.3004,3.0064E-02,4,-3.6
0.3006,3.0084E-02,3.2,-3.6
0.3008,3.0104E-02,3.2,-3.6
0.301,3.0124E-02,4,-3.4
0.3012,3.0144E-02,4,-3.6
0.3014,3.0164E-02,3.2,-3.8
0.3016,3.0184E-02,4,-3.6
0.3018,3.0204E-02,1.6,-3.6
0.302,3.0224E-02,4,-3.8
0.3022,3.0244E-02,3.2,-3.8
0.3024,3.0264E-02,4,-3.6
0.3026,3.0284E-02,3.2,-3.6
0.3028,3.0304E-02,4,-3.4
0.303,3.0324E-02,4.8,-3.6
0.3032,3.0344E-02,4.8,-3.6
0.3034,3.0364E-02,7.2,-3.6
0.3036,3.0384E-02,5.6,-3.8
0.3038,3.0404E-02,7.2,-3.6
0.304,3.0424E-02,8,-3.6
0.3042,3.0444E-02,8,-3.8
0.3044,3.0464E-02,9.6,-3.4
0.3046,3.0484E-02,10.4,-3.6
0.3048,3.0504E-02,11.2,-3.8
0.305,3.0524E-02,12.8,-3.6
0.3052,3.0544E-02,14.4,-3.6
0.3054,3.0564E-02,15.2,-3.8
0.3056,3.0584E-02,18.4,-3.6
0.3058,3.0604E-02,19.2,-3.6
0.306,3.0624E-02,21.6,-3.6
0.3062,3.0645E-02,24,-3.6
0.3064,3.0665E-02,25.6,-3.6
0.3066,3.0685E-02,26.4,-3.6
0.3068,3.0705E-02,28,-3.6
0.307,3.0725E-02,28,-3.6
0.3072,3.0745E-02,27.2,-3.6
0.3074,3.0765E-02,28,-3.8
0.3076,3.0785E-02,28.8,-3.6
0.3078,3.0805E-02,28.8,-3.6
0.308,3.0825E-02,29.6,-3.6
0.3082,3.0845E-02,28.8,-3.6
0.3084,3.0865E-02,29.6,-3.6
0.3086,3.0885E-02,28,-3.8
0.3088,3.0905E-02,28,-3.6
0.309,3.0925E-02,25.6,-3.6
0.3092,3.0945E-02,25.6,-3.6
0.3094,3.0965E-02,24,-3.6
0.3096,3.0985E-02,21.6,-3.6
0.3098,3.1005E-02,19.2,-3.6
0.31,3.1025E-02,18.4,-3.6
0.3102,3.1045E-02,20,-3.6
0.3104,3.1065E-02,19.2,-3.6
0.3106,3.1085E-02,20,-3.6
0.3108,3.1105E-02,19.2,-3.6
0.311,3.1125E-02,16.8,-3.4
0.3112,3.1145E-02,13.6,-3.6
0.3114,3.1165E-02,9.6,-3.6
0.3116,3.1185E-02,3.2,-3.6
0.3118,3.1205E-02,-4.8,-3.6
0.312,3.1225E-02,-12,-3.6
0.3122,3.1245E-02,-16,-3.6
0.3124,3.1265E-02,-20.8,-3.4
0.3126,3.1285E-02,-23.2,-3.6
0.3128,3.1305E-02,-22.4,-3.6
0.313,3.1325E-02,-20.8,-3.8
0.3132,3.1345E-02,-18.4,-3.8
0.3134,3.1365E-02,-13.6,-3.8
0.3136,3.1385E-02,-9.6,-3.8
0.3138,3.1405E-02,-5.6,-3.8
0.314,3.1425E-02,-3.2,-3.6
0.3142,3.1445E-02,-0.8,-3.6
0.3144,3.1465E-02,1.6,-3.8
0.3146,3.1485E-02,4,-3.6
0.3148,3.1505E-02,4.8,-3.8
0.315,3.1525E-02,4.8,-3.6
0.3152,3.1545E-02,8,-3.6
0.3154,3.1565E-02,10.4,-3.6
0.3156,3.1585E-02,14.4,-3.6
0.3158,3.1605E-02,19.2,-3.8
0.316,3.1625E-02,22.4,-3.6
0.3162,3.1645E-02,26.4,-3.6
0.3164,3.1665E-02,29.6,-3.6
0.3166,3.1685E-02,32,-3.6
0.3168,3.1705E-02,33.6,-3.6
0.317,3.1725E-02,35.2,-3.6
0.3172,3.1745E-02,35.2,-3.6
0.3174,3.1765E-02,33.6,-3.6
0.3176,3.1785E-02,32.8,-3.6
0.3178,3.1805E-02,32,-3.6
0.318,3.1825E-02,29.6,-3.6
0.3182,3.1845E-02,28.8,-3.6
0.3184,3.1865E-02,27.2,-3.6
0.3186,3.1886E-02,26.4,-3.6
0.3188,3.1906E-02,25.6,-3.6
0.319,3.1926E-02,23.2,-3.6
0.3192,3.1946E-02,23.2,-3.8
0.3194,3.1966E-02,23.2,-3.6
0.3196,3.1986E-02,22.4,-3.8
0.3198,3.2006E-02,21.6,-3.6
0.32,3.2026E-02,20,-3.6
0.3202,3.2046E-02,19.2,-3.6
0.3204,3.2066E-02,16,-3.6
0.3206,3.2086E-02,14.4,-3.6
0.3208,3.2106E-02,12.8,-3.6
0.321,3.2126E-02,9.6,-3.6
0.3212,3.2146E-02,8.8,-3.6
0.3214,3.2166E-02,10.4,-3.6
0.3216,3.2186E-02,12,-3.6
0.3218,3.2206E-02,14.4,-3.6
0.322,3.2226E-02,16,-3.8
0.3222,3.2246E-02,16,-3.4
0.3224,3.2266E-02,15.2,-3.6
0.3226,3.2286E-02,12,-3.6
0.3228,3.2306E-02,7.2,-3.6
0.323,3.2326E-02,1.6,-3.8
0.3232,3.2346E-02,-8,-3.8
0.3234,3.2366E-02,-16,-3.8
0.3236,3.2386E-02,-20.8,-3.8
0.3238,3.2406E-02,-25.6,-3.8
0.324,3.2426E-02,-26.4,-3.8
0.3242,3.2446E-02,-24.8,-3.8
0.3244,3.2466E-02,-23.2,-3.6
0.3246,3.2486E-02,-16,-3.6
0.3248,3.2506E-02,-11.2,-3.6
0.325,3.2526E-02,-4.8,-3.6
0.3252,3.2546E-02,0.8,-3.8
0.3254,3.2566E-02,5.6,-3.6
0.3256,3.2586E-02,8,-3.4
0.3258,3.2606E-02,11.2,-3.8
0.326,3.2626E-02,12.8,-3.8
0.3262,3.2646E-02,13.6,-4
0.3264,3.2666E-02,15.2,-3.6
0.3266,3.2686E-02,16,-3.6
0.3268,3.2706E-02,17.6,-3.6
0.327,3.2726E-02,21.6,-3.6
0.3272,3.2746E-02,24,-3.6
0.3274,3.2766E-02,28.8,-3.6
0.3276,3.2786E-02,29.6,-3.6
0.3278,3.2806E-02,32,-3.6
0.328,3.2826E-02,33.6,-3.6
0.3282,3.2846E-02,34.4,-3.6
0.3284,3.2866E-02,33.6,-3.6
0.3286,3.2886E-02,32.8,-3.4
0.3288,3.2906E-02,28.8,-3.6
0.329,3.2926E-02,29.6,-3.8
0.3292,3.2946E-02,27.2,-3.6
0.3294,3.2966E-02,26.4,-3.6
0.3296,3.2986E-02,26.4,-3.6
0.3298,3.3006E-02,24,-3.4
0.33,3.3026E-02,24,-3.6
0.3302,3.3046E-02,24,-3.8
0.3304,3.3066E-02,23.2,-3.6
0.3306,3.3086E-02,23.2,-3.6
0.3308,3.3106E-02,22.4,-3.6
0.331,3.3127E-02,19.2,-3.6
0.3312,3.3147E-02,20,-3.6
0.3314,3.3167E-02,16.8,-3.8
0.3316,3.3187E-02,13.6,-3.4
0.3318,3.3207E-02,14.4,-3.6
0.332,3.3227E-02,11.2,-3.4
0.3322,3.3247E-02,14.4,-3.8
0.3324,3.3267E-02,12.8,-3.8
0.3326,3.3287E-02,11.2,-3.6
0.3328,3.3307E-02,10.4,-3.6
0.333,3.3327E-02,10.4,-3.6
0.3332,3.3347E-02,10.4,-3.6
0.3334,3.3367E-02,9.6,-3.6
0.3336,3.3387E-02,7.2,-3.6
0.3338,3.3407E-02,7.2,-3.6
0.334,3.3427E-02,4,-3.8
0.3342,3.3447E-02,3.2,-3.6
0.3344,3.3467E-02,0,-3.8
0.3346,3.3487E-02,-3.2,-3.6
0.3348,3.3507E-02,-3.2,-3.8
0.335,3.3527E-02,-4.8,-3.8
0.3352,3.3547E-02,-4.8,-3.8
0.3354,3.3567E-02,-4.8,-3.6
0.3356,3.3587E-02,-3.2,-3.4
0.3358,3.3607E-02,-2.4,-3.6
0.336,3.3627E-02,-1.6,-3.6
0.3362,3.3647E-02,-0.8,-3.6
0.3364,3.3667E-02,-0.8,-3.8
0.3366,3.3687E-02,0.8,-3.6
0.3368,3.3707E-02,1.6,-3.8
0.337,3.3727E-02,0.8,-3.8
0.3372,3.3747E-02,4,-3.8
0.3374,3.3767E-02,1.6,-3.6
0.3376,3.3787E-02,0.8,-3.6
0.3378,3.3807E-02,0.8,-3.6
0.338,3.3827E-02,2.4,-3.6
0.3382,3.3847E-02,1.6,-3.6
0.3384,3.3867E-02,1.6,-3.8
0.3386,3.3887E-02,3.2,-3.6
0.3388,3.3907E-02,2.4,-3.6
0.339,3.3927E-02,3.2,-3.6
0.3392,3.3947E-02,3.2,-3.6
0.3394,3.3967E-02,1.6,-3.6
0.3396,3.3987E-02,4.8,-3.8
0.3398,3.4007E-02,5.6,-3.6
0.34,3.4027E-02,5.6,-3.8
0.3402,3.4047E-02,6.4,-3.8
0.3404,3.4067E-02,7.2,-3.6
0.3406,3.4087E-02,7.2,-3.8
0.3408,3.4107E-02,12.8,-3.6
0.341,3.4127E-02,10.4,-3.6
0.3412,3.4147E-02,10.4,-3.6
0.3414,3.4167E-02,11.2,-3.8
0.3416,3.4187E-02,12,-3.6
0.3418,3.4207E-02,13.6,-3.6
0.342,3.4227E-02,15.2,-3.6
0.3422,3.4247E-02,14.4,-3.6
0.3424,3.4267E-02,16,-3.6
0.3426,3.4287E-02,15.2,-3.6
0.3428,3.4307E-02,16,-3.8
0.343,3.4327E-02,15.2,-3.8
0.3432,3.4347E-02,16.8,-3.8
0.3434,3.4367E-02,15.2,-3.6
0.3436,3.4388E-02,16.8,-3.8
0.3438,3.4408E-02,18.4,-3.6
0.344,3.4428E-02,17.6,-3.6
0.3442,3.4448E-02,17.6,-3.6
0.3444,3.4468E-02,16.8,-3.6
0.3446,3.4488E-02,16.8,-3.8
0.3448,3.4508E-02,16.8,-3.6
0.345,3.4528E-02,15.2,-3.6
0.3452,3.4548E-02,15.2,-3.6
0.3454,3.4568E-02,13.6,-3.8
0.3456,3.4588E-02,14.4,-3.8
0.3458,3.4608E-02,13.6,-3.6
0.346,3.4628E-02,13.6,-3.6
0.3462,3.4648E-02,12,-3.6
0.3464,3.4668E-02,12.8,-3.8
0.3466,3.4688E-02,12.8,-3.6
0.3468,3.4708E-02,11.2,-3.6
0.347,3.4728E-02,11.2,-3.6
0.3472,3.4748E-02,11.2,-3.6
0.3474,3.4768E-02,10.4,-3.6
0.3476,3.4788E-02,8,-3.6
0.3478,3.4808E-02,7.2,-3.6
0.348,3.4828E-02,6.4,-3.6
0.3482,3.4848E-02,2.4,-3.6
0.3484,3.4868E-02,4.8,-3.6
0.3486,3.4888E-02,3.2,-3.6
0.3488,3.4908E-02,4,-3.8
0.349,3.4928E-02,2.4,-3.6
0.3492,3.4948E-02,1.6,-3.6
0.3494,3.4968E-02,2.4,-3.6
0.3496,3.4988E-02,3.2,-3.6
0.3498,3.5008E-02,3.2,-3.6
0.35,3.5028E-02,3.2,-3.8
0.3502,3.5048E-02,3.2,-3.6
0.3504,3.5068E-02,4.8,-3.6
0.3506,3.5088E-02,4.8,-3.6
0.3508,3.5108E-02,6.4,-3.6
0.351,3.5128E-02,10.4,-3.8
0.3512,3.5148E-02,10.4,-3.6
0.3514,3.5168E-02,12,-3.8
0.3516,3.5188E-02,13.6,-3.8
0.3518,3.5208E-02,13.6,-3.6
0.352,3.5228E-02,13.6,-3.6
0.3522,3.5248E-02,15.2,-3.6
0.3524,3.5268E-02,15.2,-3.6
0.3526,3.5288E-02,16,-3.6
0.3528,3.5308E-02,16,-3.6
0.353,3.5328E-02,19.2,-3.8
0.3532,3.5348E-02,21.6,-3.8
0.3534,3.5368E-02,24.8,-3.6
0.3536,3.5388E-02,29.6,-3.6
0.3538,3.5408E-02,33.6,-3.6
0.354,3.5428E-02,36.8,-3.8
0.3542,3.5448E-02,39.2,-3.6
0.3544,3.5468E-02,41.6,-3.8
0.3546,3.5488E-02,40,-3.6
0.3548,3.5508E-02,39.2,-3.6
0.355,3.5528E-02,36.8,-3.6
0.3552,3.5548E-02,36,-3.6
0.3554,3.5568E-02,32,-3.6
0.3556,3.5588E-02,26.4,-3.6
0.3558,3.5608E-02,26.4,-3.6
0.356,3.5629E-02,24.8,-3.8
0.3562,3.5649E-02,21.6,-3.6
0.3564,3.5669E-02,21.6,-3.6
0.3566,3.5689E-02,20,-3.6
0.3568,3.5709E-02,18.4,-3.8
0.357,3.5729E-02,10.4,-3.6
0.3572,3.5749E-02,13.6,-3.6
0.3574,3.5769E-02,10.4,-3.6
0.3576,3.5789E-02,8.8,-3.6
0.3578,3.5809E-02,6.4,-3.6
0.358,3.5829E-02,3.2,-3.6
0.3582,3.5849E-02,0,-3.6
0.3584,3.5869E-02,-1.6,-3.6
0.3586,3.5889E-02,-2.4,-3.6
0.3588,3.5909E-02,-3.2,-3.6
0.359,3.5929E-02,-3.2,-3.6
0.3592,3.5949E-02,-3.2,-3.6
0.3594,3.5969E-02,-2.4,-3.6
0.3596,3.5989E-02,-0.8,-3.6
0.3598,3.6009E-02,-0.8,-3.6
0.36,3.6029E-02,1.6,-3.8
0.3602,3.6049E-02,3.2,-3.6
0.3604,3.6069E-02,3.2,-3.6
0.3606,3.6089E-02,4.8,-3.6
0.3608,3.6109E-02,4,-3.6
0.361,3.6129E-02,5.6,-3.6
0.3612,3.6149E-02,6.4,-3.6
0.3614,3.6169E-02,5.6,-3.6
0.3616,3.6189E-02,7.2,-3.6
0.3618,3.6209E-02,7.2,-3.6
0.362,3.6229E-02,8,-3.6
0.3622,3.6249E-02,10.4,-3.8
0.3624,3.6269E-02,12,-3.6
0.3626,3.6289E-02,12.8,-3.8
0.3628,3.6309E-02,13.6,-3.6
0.363,3.6329E-02,12.8,-3.6
0.3632,3.6349E-02,12.8,-3.6
0.3634,3.6369E-02,11.2,-3.6
0.3636,3.6389E-02,9.6,-3.6
0.3638,3.6409E-02,9.6,-3.8
0.364,3.6429E-02,8,-3.6
0.3642,3.6449E-02,9.6,-3.6
0.3644,3.6469E-02,11.2,-3.6
0.3646,3.6489E-02,14.4,-3.6
0.3648,3.6509E-02,17.6,-3.6
0.365,3.6529E-02,24.8,-3.8
0.3652,3.6549E-02,28,-3.8
0.3654,3.6569E-02,32.8,-3.8
0.3656,3.6589E-02,33.6,-3.8
0.3658,3.6609E-02,34.4,-3.6
0.366,3.6629E-02,34.4,-3.8
0.3662,3.6649E-02,31.2,-3.6
0.3664,3.6669E-02,28,-3.6
0.3666,3.6689E-02,25.6,-3.6
0.3668,3.6709E-02,21.6,-3.6
0.367,3.6729E-02,18.4,-3.6
0.3672,3.6749E-02,15.2,-3.8
0.3674,3.6769E-02,12.8,-3.8
0.3676,3.6789E-02,12,-3.8
0.3678,3.6809E-02,10.4,-3.6
0.368,3.6829E-02,10.4,-3.6
0.3682,3.6849E-02,11.2,-3.6
0.3684,3.6869E-02,8.8,-3.6
0.3686,3.6890E-02,6.4,-3.6
0.3688,3.6910E-02,5.6,-3.8
0.369,3.6930E-02,3.2,-3.6
0.3692,3.6950E-02,1.6,-3.8
0.3694,3.6970E-02,-1.6,-3.6
0.3696,3.6990E-02,-2.4,-3.6
0.3698,3.7010E-02,-2.4,-3.6
0.37,3.7030E-02,-3.2,-3.6
0.3702,3.7050E-02,-3.2,-3.8
0.3704,3.7070E-02,-0.8,-3.8
0.3706,3.7090E-02,0.8,-3.6
0.3708,3.7110E-02,3.2,-3.6
0.371,3.7130E-02,5.6,-3.6
0.3712,3.7150E-02,8,-3.6
0.3714,3.7170E-02,10.4,-3.6
0.3716,3.7190E-02,12,-3.6
0.3718,3.7210E-02,11.2,-3.6
0.372,3.7230E-02,12.8,-3.6
0.3722,3.7250E-02,12,-3.8
0.3724,3.7270E-02,12.8,-3.6
0.3726,3.7290E-02,11.2,-3.6
0.3728,3.7310E-02,6.4,-3.6
0.373,3.7330E-02,13.6,-3.8
0.3732,3.7350E-02,14.4,-3.8
0.3734,3.7370E-02,15.2,-3.6
0.3736,3.7390E-02,14.4,-3.8
0.3738,3.7410E-02,10.4,-3.8
0.374,3.7430E-02,14.4,-3.6
0.3742,3.7450E-02,16.8,-3.6
0.3744,3.7470E-02,16.8,-3.6
0.3746,3.7490E-02,17.6,-3.8
0.3748,3.7510E-02,18.4,-3.8
0.375,3.7530E-02,17.6,-3.8
0.3752,3.7550E-02,16.8,-3.4
0.3754,3.7570E-02,17.6,-3.6
0.3756,3.7590E-02,18.4,-3.6
0.3758,3.7610E-02,18.4,-3.6
0.376,3.7630E-02,19.2,-3.6
0.3762,3.7650E-02,20.8,-3.6
0.3764,3.7670E-02,20.8,-3.6
0.3766,3.7690E-02,21.6,-3.6
0.3768,3.7710E-02,23.2,-3.6
0.377,3.7730E-02,20.8,-3.8
0.3772,3.7750E-02,21.6,-3.6
0.3774,3.7770E-02,20,-3.8
0.3776,3.7790E-02,20,-3.6
0.3778,3.7810E-02,18.4,-3.6
0.378,3.7830E-02,20.8,-3.6
0.3782,3.7850E-02,19.2,-3.6
0.3784,3.7870E-02,18.4,-3.6
0.3786,3.7890E-02,18.4,-3.6
0.3788,3.7910E-02,16,-3.6
0.379,3.7930E-02,17.6,-3.6
0.3792,3.7950E-02,16.8,-3.6
0.3794,3.7970E-02,16.8,-3.4
0.3796,3.7990E-02,16,-3.6
0.3798,3.8010E-02,16.8,-3.6
0.38,3.8030E-02,16.8,-3.6
0.3802,3.8050E-02,10.4,-3.8
0.3804,3.8070E-02,16,-3.6
0.3806,3.8090E-02,12.8,-3.6
0.3808,3.8110E-02,12,-3.6
0.381,3.8131E-02,13.6,-3.8
0.3812,3.8151E-02,15.2,-3.6
0.3814,3.8171E-02,14.4,-3.6
0.3816,3.8191E-02,18.4,-3.6
0.3818,3.8211E-02,13.6,-3.6
0.382,3.8231E-02,12.8,-3.8
0.3822,3.8251E-02,13.6,-3.6
0.3824,3.8271E-02,12.8,-3.8
0.3826,3.8291E-02,12,-3.6
0.3828,3.8311E-02,11.2,-3.6
0.383,3.8331E-02,8.8,-3.6
0.3832,3.8351E-02,10.4,-3.6
0.3834,3.8371E-02,10.4,-3.6
0.3836,3.8391E-02,10.4,-3.6
0.3838,3.8411E-02,10.4,-3.8
0.384,3.8431E-02,10.4,-3.6
0.3842,3.8451E-02,11.2,-3.6
0.3844,3.8471E-02,9.6,-3.8
0.3846,3.8491E-02,10.4,-3.8
0.3848,3.8511E-02,11.2,-3.6
0.385,3.8531E-02,11.2,-3.8
0.3852,3.8551E-02,10.4,-3.6
0.3854,3.8571E-02,10.4,-3.6
0.3856,3.8591E-02,10.4,-3.8
0.3858,3.8611E-02,10.4,-3.6
0.386,3.8631E-02,10.4,-3.6
0.3862,3.8651E-02,10.4,-3.8
0.3864,3.8671E-02,11.2,-3.6
0.3866,3.8691E-02,10.4,-3.6
0.3868,3.8711E-02,10.4,-3.6
0.387,3.8731E-02,9.6,-3.8
0.3872,3.8751E-02,10.4,-3.6
0.3874,3.8771E-02,10.4,-3.8
0.3876,3.8791E-02,9.6,-3.6
0.3878,3.8811E-02,10.4,-3.6
0.388,3.8831E-02,10.4,-3.6
0.3882,3.8851E-02,9.6,-3.6
0.3884,3.8871E-02,11.2,-3.6
0.3886,3.8891E-02,12,-3.6
0.3888,3.8911E-02,13.6,-3.6
0.389,3.8931E-02,13.6,-3.6
0.3892,3.8951E-02,16,-3.8
0.3894,3.8971E-02,16,-3.6
0.3896,3.8991E-02,16,-3.6
0.3898,3.9011E-02,17.6,-3.6
0.39,3.9031E-02,17.6,-3.8
0.3902,3.9051E-02,19.2,-3.6
0.3904,3.9071E-02,19.2,-3.6
0.3906,3.9091E-02,20.8,-3.6
0.3908,3.9111E-02,20.8,-3.8
0.391,3.9131E-02,20.8,-3.6
0.3912,3.9151E-02,20.8,-3.8
0.3914,3.9171E-02,20.8,-3.8
0.3916,3.9191E-02,21.6,-3.6
0.3918,3.9211E-02,20,-3.6
0.392,3.9231E-02,20.8,-3.6
0.3922,3.9251E-02,18.4,-3.8
0.3924,3.9271E-02,16.8,-3.8
0.3926,3.9291E-02,16,-3.6
0.3928,3.9311E-02,15.2,-3.8
0.393,3.9331E-02,13.6,-3.6
0.3932,3.9351E-02,12,-3.6
0.3934,3.9371E-02,12,-3.8
0.3936,3.9392E-02,10.4,-3.8
0.3938,3.9412E-02,10.4,-3.6
0.394,3.9432E-02,12,-3.8
0.3942,3.9452E-02,9.6,-3.8
0.3944,3.9472E-02,10.4,-3.6
0.3946,3.9492E-02,8.8,-3.6
0.3948,3.9512E-02,7.2,-3.8
0.395,3.9532E-02,5.6,-3.6
0.3952,3.9552E-02,2.4,-3.6
0.3954,3.9572E-02,0,-3.6
0.3956,3.9592E-02,-2.4,-3.8
0.3958,3.9612E-02,-4.8,-3.6
0.396,3.9632E-02,-6.4,-3.6
